,장소
0,오륙도 스카이워크
1,해동 용궁사(부산)
2,아홉산숲
3,부산 감천문화마을
4,부산 자갈치시장
5,해운대 달맞이길
6,해운대해수욕장
7,장림포구
8,삼락생태공원
9,부산 송도해상케이블카
10,송도용궁구름다리
11,해운대 블루라인파크
12,절영해안산책로
13,이기대 (부산 국가지질공원)
14,장기려기념 더 나눔센터
15,안데르센 동화마을
16,흰여울문화마을
17,황령산
18,송도 구름산책로(스카이워크)
19,부산 치유의 숲
20,다대포해수욕장
21,태종대 (부산 국가지질공원)
22,SEA LIFE 부산아쿠아리움
23,부산 영화의 전당
24,더베이101
25,BIFF 광장
26,다대포 꿈의 낙조분수
27,국제시장
28,누리마루 APEC하우스
29,국립부산과학관
30,부산세관박물관
31,해운대 동백섬
32,부산 암남공원
33,죽성성당(드림세트장)
34,용두산공원
35,광안리해변 테마거리
36,40계단 문화관광테마거리
37,청사포
38,광안리해수욕장
39,부산 송도해수욕장
40,대저생태공원
41,청사포 다릿돌전망대
42,신세계 센텀시티
43,아미르공원
44,부산광안대교
45,장산 (부산 국가지질공원)
46,피아크 P.ARK
47,송정해수욕장
48,동래읍성지
49,부평시장(깡통시장)
50,국립해양박물관
51,마린시티
52,구덕야영장
53,오륙도 (부산 국가지질공원)
54,문탠로드
55,용소웰빙공원
56,스파랜드 센텀시티
57,화명생태공원
58,삼진어묵체험·역사관
59,코오롱 씨클라우드 호텔[한국관광 품질인증/Korea Quality]
60,회동수원지
61,남도해양관광열차 S-트레인(S-train)
62,영도 등대
63,태종대 전망대
64,초량 이바구길
65,가덕도 등대
66,[백년가게]쉐라미
67,일광해수욕장
68,부산영화촬영스튜디오
69,닥터 아난티 의원
70,동래온천 노천족탕
71,수영사적공원
72,을숙도 공원
73,영도 흰여울해안터널
74,공수어촌체험마을
75,국립 달음산자연휴양림
76,금강공원
77,국제시장 먹자골목
78,범어사(부산)
79,부산 차이나타운특구(상해문.상해거리)
80,영도대교
81,우암동 도시 숲
82,168계단
83,로빈뮤지엄
84,동백공원
85,수영만 요트경기장
86,허심청
87,금정산성
88,전포카페거리
89,평화공원
90,대변마을
91,영도 청학배수지 전망대
92,키자니아 부산
93,[백년가게]동래할매파전
94,속시원한 대구탕
95,부산영화체험박물관
96,부산현대미술관
97,부산 트릭아이뮤지엄
98,부산 기장시장
99,롯데프리미엄아울렛 동부산점
